,winner,pilot,action,index,average_action_per_15min,average_action_per_1min,average_action_per_30min,strain
106,4.3,3,m,30,2.3076923076923075,0.15384615384615383,4.615384615384615,CD1
107,4.4,1,c,12,1.3333333333333333,0.08888888888888888,2.6666666666666665,CD1
108,4.4,1,f,51,5.666666666666667,0.3777777777777778,11.333333333333334,CD1
109,4.4,2,ag,8,0.3076923076923077,0.020512820512820513,0.6153846153846154,CD1
110,4.4,2,as,6,0.23076923076923078,0.015384615384615385,0.46153846153846156,CD1
111,4.4,2,fs,17,0.6538461538461539,0.04358974358974359,1.3076923076923077,CD1
112,4.4,3,c,2,0.13333333333333333,0.008888888888888889,0.26666666666666666,CD1
113,4.4,3,f,4,0.26666666666666666,0.017777777777777778,0.5333333333333333,CD1
114,5.1,2,ag,17,0.6538461538461539,0.04358974358974359,1.3076923076923077,CD1
115,5.1,2,as,52,2.0,0.13333333333333333,4.0,CD1
116,5.1,2,c,12,0.46153846153846156,0.03076923076923077,0.9230769230769231,CD1
117,5.1,2,f,26,1.0,0.06666666666666667,2.0,CD1
118,5.1,2,fs,25,0.9615384615384616,0.06410256410256411,1.9230769230769231,CD1
119,5.1,2,m,2,0.07692307692307693,0.005128205128205128,0.15384615384615385,CD1
120,5.1,3,c,9,0.6923076923076923,0.04615384615384615,1.3846153846153846,CD1
121,5.1,3,f,37,2.8461538461538463,0.18974358974358976,5.6923076923076925,CD1
122,5.1,3,m,13,1.0,0.06666666666666667,2.0,CD1
123,5.2,2,ag,3,0.11538461538461539,0.007692307692307693,0.23076923076923078,CD1
124,5.2,2,as,7,0.2692307692307692,0.017948717948717947,0.5384615384615384,CD1
125,5.2,2,fs,10,0.38461538461538464,0.025641025641025644,0.7692307692307693,CD1
126,5.2,3,c,1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
127,5.2,3,f,10,0.6666666666666666,0.04444444444444444,1.3333333333333333,CD1
128,5.2,3,m,1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
129,5.3,2,ag,3,0.13636363636363635,0.00909090909090909,0.2727272727272727,CD1
130,5.3,2,as,38,1.7272727272727273,0.11515151515151516,3.4545454545454546,CD1
131,5.3,2,c,37,1.6818181818181819,0.11212121212121212,3.3636363636363638,CD1
132,5.3,2,f,64,2.909090909090909,0.19393939393939394,5.818181818181818,CD1
133,5.3,2,fs,41,1.8636363636363635,0.12424242424242424,3.727272727272727,CD1
134,5.3,2,m,2,0.09090909090909091,0.006060606060606061,0.18181818181818182,CD1
135,5.3,3,c,5,0.3333333333333333,0.02222222222222222,0.6666666666666666,CD1
136,5.3,3,f,3,0.2,0.013333333333333334,0.4,CD1
137,5.4,2,ag,1,0.038461538461538464,0.002564102564102564,0.07692307692307693,CD1
138,5.4,2,as,14,0.5384615384615384,0.035897435897435895,1.0769230769230769,CD1
139,5.4,2,c,15,0.5769230769230769,0.03846153846153846,1.1538461538461537,CD1
140,5.4,2,f,73,2.8076923076923075,0.18717948717948715,5.615384615384615,CD1
141,5.4,2,fs,20,0.7692307692307693,0.05128205128205129,1.5384615384615385,CD1
142,5.4,3,c,5,0.3333333333333333,0.02222222222222222,0.6666666666666666,CD1
143,5.4,3,f,10,0.6666666666666666,0.04444444444444444,1.3333333333333333,CD1
144,6.1,2,ag,5,0.22727272727272727,0.01515151515151515,0.45454545454545453,CD1
145,6.1,2,as,17,0.7727272727272727,0.051515151515151514,1.5454545454545454,CD1
146,6.1,2,c,23,1.0454545454545454,0.06969696969696969,2.090909090909091,CD1
147,6.1,2,f,116,5.2727272727272725,0.3515151515151515,10.545454545454545,CD1
148,6.1,2,fs,19,0.8636363636363636,0.05757575757575758,1.7272727272727273,CD1
149,6.2,2,ag,19,0.7307692307692307,0.04871794871794872,1.4615384615384615,CD1
150,6.2,2,as,31,1.1923076923076923,0.07948717948717948,2.3846153846153846,CD1
151,6.2,2,c,7,0.2692307692307692,0.017948717948717947,0.5384615384615384,CD1
152,6.2,2,f,12,0.46153846153846156,0.03076923076923077,0.9230769230769231,CD1
153,6.2,2,fs,60,2.3076923076923075,0.15384615384615383,4.615384615384615,CD1
154,6.3,2,ag,3,0.11538461538461539,0.007692307692307693,0.23076923076923078,CD1
155,6.3,2,as,23,0.8846153846153846,0.05897435897435897,1.7692307692307692,CD1
156,6.3,2,c,1,0.038461538461538464,0.002564102564102564,0.07692307692307693,CD1
157,6.3,2,f,2,0.07692307692307693,0.005128205128205128,0.15384615384615385,CD1
158,6.3,2,fs,36,1.3846153846153846,0.0923076923076923,2.769230769230769,CD1
159,6.4,2,ag,9,0.34615384615384615,0.023076923076923075,0.6923076923076923,CD1
160,6.4,2,as,49,1.8846153846153846,0.12564102564102564,3.769230769230769,CD1
161,6.4,2,c,17,0.6538461538461539,0.04358974358974359,1.3076923076923077,CD1
162,6.4,2,f,69,2.6538461538461537,0.1769230769230769,5.3076923076923075,CD1
163,6.4,2,fs,52,2.0,0.13333333333333333,4.0,CD1
164,6.4,2,s,1,0.038461538461538464,0.002564102564102564,0.07692307692307693,CD1
165,2.4,2,c,0,0.0,0.0,0.0,C57
166,3.2,3,c,0,0.0,0.0,0.0,CD1
167,6.2,3,c,0,0.0,0.0,0.0,CD1
168,1.4,3,c,0,0.0,0.0,0.0,C57
169,3.1,3,c,0,0.0,0.0,0.0,CD1
170,2.2,3,c,0,0.0,0.0,0.0,C57
171,1.3,3,c,0,0.0,0.0,0.0,C57
172,3.4,3,c,0,0.0,0.0,0.0,CD1
173,4.1,3,c,0,0.0,0.0,0.0,CD1
174,4.3,2,c,0,0.0,0.0,0.0,CD1
175,1.2,3,c,0,0.0,0.0,0.0,C57
176,3.3,3,c,0,0.0,0.0,0.0,CD1
177,6.3,3,c,0,0.0,0.0,0.0,CD1
178,5.2,2,c,0,0.0,0.0,0.0,CD1
179,1.3,2,c,0,0.0,0.0,0.0,C57
180,4.4,2,c,0,0.0,0.0,0.0,CD1
181,6.4,3,c,0,0.0,0.0,0.0,CD1
182,6.1,3,c,0,0.0,0.0,0.0,CD1
183,1.1,3,c,0,0.0,0.0,0.0,C57
184,3.2,3,f,0,0.0,0.0,0.0,CD1
185,6.2,3,f,0,0.0,0.0,0.0,CD1
186,1.4,3,f,0,0.0,0.0,0.0,C57
187,3.3,1,f,0,0.0,0.0,0.0,CD1
188,3.1,3,f,0,0.0,0.0,0.0,CD1
189,2.2,3,f,0,0.0,0.0,0.0,C57
190,3.2,2,f,0,0.0,0.0,0.0,CD1
191,1.3,3,f,0,0.0,0.0,0.0,C57
192,3.4,3,f,0,0.0,0.0,0.0,CD1
193,4.1,3,f,0,0.0,0.0,0.0,CD1
194,4.3,2,f,0,0.0,0.0,0.0,CD1
195,1.2,3,f,0,0.0,0.0,0.0,C57
196,3.3,3,f,0,0.0,0.0,0.0,CD1
197,6.3,3,f,0,0.0,0.0,0.0,CD1
198,3.2,1,f,0,0.0,0.0,0.0,CD1
199,5.2,2,f,0,0.0,0.0,0.0,CD1
200,4.4,2,f,0,0.0,0.0,0.0,CD1
201,6.4,3,f,0,0.0,0.0,0.0,CD1
202,6.1,3,f,0,0.0,0.0,0.0,CD1
203,1.1,3,f,0,0.0,0.0,0.0,C57
204,4.3,1,f,0,0.0,0.0,0.0,CD1
205,2.3,3,f,0,0.0,0.0,0.0,C57
