,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,oberserver,notes,length_of_observation,date,cage_#,winner,loser,action,1,2,3,4,sheet_name,session_number_difference,,processed_cage_num_of_winner,processed_cage_num_of_loser,cage_num_of_subject,cage_num_of_agent,experiment_type,cohort
53,27,3.2,3.3,893.2,886.2,0,4,2,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
54,28,3.2,3.3,886.2,899.6,1,4,2,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.2,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
55,28,3.3,3.2,1009.1,995.7,0,2,4,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.2,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
56,29,3.2,3.3,899.6,912.3,1,4,2,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.2,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
57,29,3.3,3.2,995.7,983.0,0,2,4,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.2,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
58,30,3.3,3.4,983.0,992.7,1,2,3,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
59,30,3.4,3.3,971.4,961.7,0,3,2,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
60,31,3.4,3.3,961.7,972.6,1,3,2,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.4,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
61,31,3.3,3.4,992.7,981.8,0,2,3,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.4,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
62,32,3.3,3.4,981.8,991.5,1,2,3,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
